news,sentiment
IREDA share price jumps over 10% as it attains 'Navratna status',1
"IRFC shares extend fall, dive 11% today",0
HDFC Bank shares rise 2.4% on robust advances and deposits growth,1
EaseMyTrip share price jumps over 5% on proposed 5-star hotel in Ayodhya,1
CONCOR Q3 consolidated net profit rose 12.42 percent to Rs330.74 crore,1
Yes Bank profit more than doubles in March quarter to Rs 452 crore,1
"YES Bank shares stare at 32% downside! Valuations high; sell stock, says JM Financial",0
ICICI Bank: Brokerages remain bullish on stock post Q4 earnings; raise target price,1
Paytm shares tank 9% to hit fresh record low.,0
HDFC Bank Q4 Update: Gross advances rise 55% YoY to ?24.69 lakh crore; deposits grow 26%; share price gains 3%,1
Paytm shares down 5% as VSS resignation fails to soothe nerves,0
Paytm stock plunges 20% after downgrades by brokerages,0
"RBI grants nod to HDFC Bank entities to acquire up to 9.5% stake in Yes Bank, IndusInd Bank and four others",1
"IOC Q4 Results: Profit plunges 52% YoY to Rs 4,838 crore; dividend declared at Rs 7",0
"L&T Tech Q4 result review: Stock tanks 9.5% as brokerages remain cautious, cut estimates",0
LTTS shares plunge 10% on muted Q4 performance,0
L&T Technology Services tanks nearly 10% after Q4 net profit remains flat,0
India Inc marks slowest quarterly revenue growth in January-March 2024: Crisil,0
India Inc’s revenue growth weakest since Sept 2021: Crisil Report,0
Persistent Systems shares nosedive after Q4 margin misses Street estimates;,0
Gujarat State Petronet shares hit 20% lower circuit; brokerage cut targets.,0
Gujarat State Petronet share price locked at 20% lower circuit after PNGRB cuts pipeline transmission tariff,0
"SPARC shares tank 40% after 10 consecutive lower circuits, more sell orders pending",0
Sun Pharma Advanced slips 5% on halting Parkinson's drug trial,0
"Multibagger Stock: Tejas Networks records 77% surge in April, achieves 3000% growth over 4 years",1
Tejas Networks Q4 results: Company turns into black with net profit of Rs 147 crore,1
Tejas Networks shares jump 40% in two sessions to a record high post Q4 profit,1
Tejas Networks shares jump 20% ahead of quarterly results; here's what tech analysts say,1
"Exide Industries Q4 net profit rises 37% to Rs 284 cr, appoints new MD & CEO",1
Exide Industries shares climb new ATH on Q4 EBITDA and margins beat,1
Exide Industries Q4 PAT rises by 37% to Rs 284 crore,1
Asian Paints shares down 20% from one-year high; analyst suggests more pain,0
"Eicher Motors shares @ Rs 5,000? Here's why UBS sees up to 35% rally in the stock",1
Hero MotoCorp shares in red after IT sends notice worth Rs 605 crore,0
ITC shares surge 9% as share sale overhang ease. Key details,1
"Reliance Jio Q4 Results: PAT jumps 13% YoY to Rs 5,337 crore, meets Street estimates",1
Tata Steel shares rebound 55% from 52-week low,1
Tata Steel Q2 results fail to impress Street,0
Tata Steel delivery volumes fall in Q2; stock slips 2%,0
Dr Reddy’s Laboratories shares fall 2% on potential antitrust lawsuit in US,0
Dr Reddy's Laboratories sheds around 7% as USFDA issues 3 observations for firm,0
Patanjali Foods Shares Slump 4% on Receiving Show Cause Notice,0
Patanjali Foods shares gain 7% as GQG Partners ups stake in Q4,1
Patanjali shares dip over 4% amid regulatory challenges,0
Patanjali Foods share price dips over 4% as Supreme Court issues contempt notice,0
Patanjali Foods shares drop 6% after Q3 profit tanks 19%,0
Shriram Finance shares rebound 7% from day's low post Q4 results,1
Patanjali Foods Q2 profit doubles as lower costs offset revenue drop,1
Shriram Finance shares rebound 7% from day's low post Q4 results,1
Share price of Shriram Finance falls as Sensex drops 11.49 points,0
"Buy Shriram Finance, target price Rs 2900: Motilal Oswal",1
"Shriram Finance Ltd spurts 0.26%, up for fifth straight session",1
Infosys narrows revenue gap with Cognizant,1
Shriram Finance Q3 FY24 Results Live : Profit Rises by 3.74% YoY,1
"Asian Paints Closes Slightly Higher at Rs 2876.0, Demonstrates Stability with 0.28% Price Increase",1
TVS Motor shares trade lower despite 12% rise in March sales volume,1
Bharti Airtel Closes at Rs 1322.3 with 2.87% Weekly Return,1
UTI AMC shares rally over 11% after Q3 results,1
"TCS stock price went up today, 02 May 2024, by 0.66 %. The stock closed at 3822.6 per share.",1
"Wipro stock price went down today, 02 May 2024, by -1.33 %. The stock closed at 462.3 per share.",0
Kotak Mahindra bank shares fall after joint MD KVS Manian resigns,0
"State Bank of India Stock Sees 6.78% Weekly Gain, Closes at Rs 826.25",1
"Zomato stock price went up today, 02 May 2024, by 0.78 %. The stock closed at 193.05 per share.",1
"Adani Power Q4 results: Net profit down 48% YoY to ?2,737 crore, revenue up 30%",0
"Tata Power stock price went up today, 02 May 2024, by 1.51 %. The stock closed at 449.1 per share.",1
